id,title,primarycontents,secondarycontents,date,place
edanmdm-siris_arc_398763,Tuktu and His Animal Friends 1969,Archival materials,Motion pictures (visual works),1960s,North America
edanmdm-siris_arc_398720,People of the Buffalo 1968,Archival materials,Motion pictures (visual works),1960s,North America
edanmdm-siris_arc_399069,Tuktu and the Ten Thousand Fishes 1967,Archival materials,Motion pictures (visual works),1960s,North America
edanmdm-siris_arc_399070,Tuktu and the Trials of Strength 1967,Archival materials,Motion pictures (visual works),1960s,North America
edanmdm-siris_arc_399060,Tuktu and His Nice New Clothes 1968,Archival materials,Motion pictures (visual works),1960s,North America
edanmdm-siris_arc_399067,Tuktu and the Magic Spear 1967,Archival materials,Motion pictures (visual works),1960s,North America
edanmdm-siris_arc_399061,Tuktu and the Big Kayak 1969,Archival materials,Motion pictures (visual works),1960s,North America
edanmdm-siris_arc_399065,Tuktu and the Indoor Games 1967,Archival materials,Motion pictures (visual works),1960s,North America
edanmdm-siris_arc_399063,Tuktu and the Caribou Hunt 1967,Archival materials,Motion pictures (visual works),1960s,North America
edanmdm-siris_arc_399064,Tuktu and the Clever Hands 1968,Archival materials,Motion pictures (visual works),1960s,North America
edanmdm-siris_arc_399066,Tuktu and the Magic Bow 1968,Archival materials,Motion pictures (visual works),1960s,North America
edanmdm-siris_arc_399096,I Heard the Owl Call My Name 1974,Archival materials,Motion pictures (visual works),1970s,North America
edanmdm-siris_arc_399089,The Longhouse People 1951,Archival materials,Motion pictures (visual works),1950s,North America
edanmdm-siris_arc_399092,Other Side of the Ledger: An Indian View of the Hudson's Bay Company 1972,Archival materials,Motion pictures (visual works),1970s,North America
edanmdm-siris_arc_218549,Hula Pahu from the Mader Collection ca. 1935,Archival materials,Collection descriptions,1930s,Oceania
edanmdm-siris_arc_398696,Red Sunday 1975,Archival materials,Motion pictures (visual works),1970s,North America
edanmdm-siris_arc_395098,New Hebrides Film Project: Tanna Island 1974,Archival materials,Transparencies,1970s,Oceania
edanmdm-siris_arc_396061,New Hebrides Film Project: Tanna Island 1974,Archival materials,Transparencies,1970s,Oceania
edanmdm-siris_arc_398708,How to Build an Igloo 1949,Archival materials,Motion pictures (visual works),1940s,North America
edanmdm-siris_arc_398707,End of the Trail: The American Plains Indian 1967,Archival materials,Motion pictures (visual works),1960s,North America
edanmdm-siris_arc_398697,subsistence: an Alaskan Lifestyle ca. 1970s,Archival materials,Motion pictures (visual works),1970s,North America
edanmdm-siris_arc_398725,Indian Family of Long Ago: Buffalo Hunters of the Plains 1957,Archival materials,Motion pictures (visual works),1950s,North America
edanmdm-siris_arc_398705,Circle of the Sun 1960,Archival materials,Motion pictures (visual works),1960s,North America
edanmdm-siris_arc_398759,"Medoonak, the Stormmaker 1975",Archival materials,Motion pictures (visual works),1970s,North America
edanmdm-siris_arc_279753,Rope to Our Roots 1981,Archival materials,Photographs,no date data,North America
edanmdm-siris_arc_398695,Charlie Squash Goes to Town 1969,Archival materials,Motion pictures (visual works),1960s,North America
edanmdm-siris_arc_399097,Broken Arrow 1950,Archival materials,Motion pictures (visual works),1950s,North America
edanmdm-siris_arc_399093,Pictures Out of My Life 1973,Archival materials,Motion pictures (visual works),1970s,North America
edanmdm-siris_arc_398680,Cesar's Bark Canoe 1971,Archival materials,Motion pictures (visual works),1970s,North America
edanmdm-siris_arc_398692,Maria of the Pueblos 1971,Archival materials,Motion pictures (visual works),1970s,North America
edanmdm-siris_arc_398682,The Smile of the Walrus 1973,Archival materials,Motion pictures (visual works),1970s,North America
edanmdm-siris_arc_399095,Our Land is Our Life 1974,Archival materials,Motion pictures (visual works),1970s,North America
edanmdm-siris_arc_396064,New Hebrides Film Project: Tanna Island 1974,Archival materials,Transparencies,1970s,Oceania
edanmdm-siris_arc_396060,New Hebrides Film Project: Tanna Island 1974,Archival materials,Transparencies,1970s,Oceania
edanmdm-siris_arc_396062,New Hebrides Film Project: Tanna Island 1974,Archival materials,Transparencies,1970s,Oceania
edanmdm-siris_arc_395099,New Hebrides Film Project: Tanna Island 1974,Archival materials,Transparencies,1970s,Oceania
edanmdm-siris_arc_395097,New Hebrides Film Project: Tanna Island 1974,Archival materials,Transparencies,1970s,Oceania
edanmdm-siris_arc_395096,New Hebrides Film Project: Tanna Island 1974,Archival materials,Transparencies,1970s,Oceania
edanmdm-siris_arc_396059,New Hebrides Film Project: Tanna Island 1974,Archival materials,Transparencies,1970s,Oceania
edanmdm-siris_arc_396063,New Hebrides Film Project: Tanna Island 1974,Archival materials,Transparencies,1970s,Oceania
