id,Title,Medium,Dates,Place
edanmdm-siris_arc_396197,Francis S.L. Williamson Awarded Secretary's Gold Medal,Photographs,1970s,Unknown+ETC
edanmdm-siris_arc_398054,National Associates' Selected Studies Program on Horticulture,Photographs,1970s,Unknown+ETC
edanmdm-siris_arc_247192,"Robert Sperry papers, 1951-2002",Video Recordings,2000s,Unknown+ETC
edanmdm-siris_arc_211607,"Skowhegan School of Painting and Sculpture records, 1945-2013",Sound Recordings,2010s,Unknown+ETC
edanmdm-siris_arc_363319,"Aleksandra Kasuba papers, c. 1900-2019, bulk 1960-2000",Video Recordings,1920s,Unknown+ETC
edanmdm-siris_arc_217064,"Videotapes, 1987",Videotapes,1980s,Unknown+ETC
edanmdm-siris_arc_210977,"Esther McCoy papers, 1876-1990, bulk, 1938-1989",Video Recordings,1920s,Unknown+ETC
edanmdm-siris_arc_212156,"Dwinell Grant papers, 1923-1988",Video Recordings,1920s,Unknown+ETC
edanmdm-siris_arc_370269,"Productions, 1982-2013",DVDs,2010s,Unknown+ETC
edanmdm-siris_arc_211563,"Charles H. Woodbury papers, 1866-1939",Video Recordings,1920s,North America
edanmdm-siris_arc_226089,"Sacha Kolin papers, ca. 1950-1980",Video Recordings,1960s,Unknown+ETC
edanmdm-siris_arc_387864,"Oral history interview with James Wentzy, 2017 January 23-March 31",Sound Recordings,2010s,Unknown+ETC
edanmdm-siris_arc_211147,"Oronzo Gasparo papers, 1909-1975",Video Recordings,1920s,Unknown+ETC
edanmdm-siris_arc_209491,"Jan Stussy papers, 1950-1985",Video Recordings,1920s,Unknown+ETC
edanmdm-siris_arc_217061,"Records, circa 1971-1984",Audiotapes,1980s,Unknown+ETC
edanmdm-siris_arc_211569,"Marguerite Wildenhain papers, 1930-1982",Video Recordings,1940s,Unknown+ETC
edanmdm-siris_arc_209591,"George Sugarman papers, 1912-2001",Video Recordings,1920s,Unknown+ETC
edanmdm-siris_arc_379872,"Productions, 1986-2013",DVDs,2010s,Unknown+ETC
edanmdm-siris_arc_210353,"Philip Pearlstein papers, circa 1940-2008",Video Recordings,1920s,Unknown+ETC
edanmdm-siris_arc_216374,"Maryette Charlton papers, circa 1890-2013",Video Recordings,1920s,Unknown+ETC
edanmdm-siris_arc_216458,"Oral history interview with Ruben Torres-Llorca, 1998 January 31",Sound Recordings,1920s,Unknown+ETC
edanmdm-siris_arc_212066,"Oral history interview with Joseph Warren McCullough, 1976 Mar. 9-10",Sound Recordings,1970s,Unknown+ETC
edanmdm-siris_arc_212231,"Oral history interview with Christo, 1973 August 28-30",Sound Recordings,1920s,Unknown+ETC
edanmdm-siris_arc_212050,"Oral history interview with Larry Rivers, 1968 November 2",Sound Recordings,1960s,Unknown+ETC
edanmdm-siris_arc_279482,"Colin de Land collection 1968-2008, bulk 1980-2003",Video Recordings,2000s,Unknown+ETC
edanmdm-siris_arc_380092,Written in Bone: Finding the Evidence,ETC,2000s,Unknown+ETC
edanmdm-siris_arc_380093,Written in Bone: Finding the Evidence,ETC,2000s,Unknown+ETC
edanmdm-siris_arc_249047,"Oral history interview with Graciela Sanchez, 2004 June 25-July 2",Sound Recordings,2000s,Unknown+ETC
edanmdm-siris_arc_212074,"Oral history interview with Robert Blackburn, 1970 December 4",Sound Recordings,1970s,Unknown+ETC
edanmdm-siris_arc_212021,"Oral history interview with Emlen Etting, 1988 Oct. 12",Sound Recordings,1980s,Unknown+ETC
edanmdm-siris_arc_212939,"Oral history interview with Roy Moyer, 1975 September 17-23",Sound Recordings,1920s,Europe
edanmdm-siris_arc_210783,"Katharine Lane Weems papers, 1865-1989",Video Recordings,1920s,North America
edanmdm-siris_arc_396578,"Unveiling of Model for ""The Federal City: Plans and Realities"" Exhibition at the Smithsonian Institution Building, or Castle",Photographs,1970s,North America
edanmdm-siris_arc_308476,"College student William Silverman (at right), standing with his former high school teacher, Creed F. Bates Jr., on the lawn of the Rhea County Courthouse, Dayton, Tennessee",Photographs,1920s,Unknown+ETC
edanmdm-siris_arc_250976,"Animal Research Records, 1972-1990",Audiotapes,1990s,Unknown+ETC
edanmdm-nmah_679378,Nuts and Bolts Soldier from Animated Film by George Pal,ETC,1940s,Unknown+ETC
edanmdm-siris_arc_380125,Written in Bone: Living and Dying in America,ETC,2000s,Unknown+ETC
edanmdm-siris_arc_211606,"Mitchell Siporin papers, 1913-1990",Video Recordings,1920s,Unknown+ETC
edanmdm-siris_arc_216529,"Letterio Calapai, master artist [videorecording] / North Shore Productions ; writer and editor, Deb Ellis ; executive producer, Neil P. Charak",Video Recordings,1920s,Unknown+ETC
edanmdm-siris_arc_379851,"Audiovisual Recordings, circa 1974-2007",DVDs,2000s,Unknown+ETC
edanmdm-siris_arc_390249,"Productions, 2008-2013",Sound Recordings,2010s,Unknown+ETC
edanmdm-siris_arc_281323,"Melbourne R. Carriker Papers, 1934-2007",Audiotapes,1950s,South America
edanmdm-siris_arc_242177,"Oral history interview with Ron Nagle, 2003 July 8-9",Sound Recordings,2000s,Unknown+ETC
edanmdm-siris_arc_260990,"Productions, 1990-1992, 1998",Audiotapes,1990s,Asia
edanmdm-siris_arc_228718,"Hildreth Meière papers, 1901-2011, bulk 1911-1960",Video Recordings,1920s,Europe
edanmdm-siris_arc_214368,"Jane Teller papers, 1911-1991",Video Recordings,1920s,Unknown+ETC
edanmdm-siris_arc_210490,"Rudolf Arnheim papers, 1919-1998",Sound Recordings,1920s,Unknown+ETC
